periodical_id,title,publisher,issue_count,Earliest Publishing date,issn
nla.obj-8423556,"""Coo-ee!"" : the journal of the Bishops Knoll Hospital, Bristol.",Partridge & Love Ltd.,13,1916-01-01,
nla.obj-2998991958,"(Ross's) Hobart Town almanack, and Van Diemen's Land annual.",Printed by James Ross,1,1835-01-01,
nla.obj-2998997061,(Ross's) Van Diemen's Land annual and Hobart Town almanack.,Printed by James Ross,1,1834-01-01,
nla.obj-15956697,14th Company magazine.,14th Company.,1,0191-01-01,
nla.obj-250818955,20 favourite & war-time camp songs [music].,Sterling Music,7,1940-01-01,
