Text#,Title,Authors,Genre,ISBN,Pages
20,Paradise Lost,"Milton, John",English Literature,9780140424393,512
34,Zen and the Art of the Internet,"Kehoe, Brendan P.",Electrical Engineering & Electronics,9780130107787,112
55,The Wonderful Wizard of Oz,"Baum, L. Frank ",Children’s & YA Literature,9780486291161,144
67,The Black Experience in America,"Coombs, Norman",U.S. History,9781594560927,340
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",Criminology & Social Problems,9780553563702,336
